Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF","CP_EIA-2012-12_Kemet-R_Pad1.30x1.05mm_HandSolder",150.025000,-107.586000,180.000000,top
"C2","22uF","CP_EIA-2012-12_Kemet-R_Pad1.30x1.05mm_HandSolder",150.025000,-105.200000,180.000000,top
"C3","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",146.300000,-105.017500,90.000000,top
"J1","USB_A","USB_A_CNCTech_1001-011-01101_Horizontal",153.900000,-128.700000,-90.000000,top
"Q1","BSS138","SOT-23",155.810000,-114.387500,-90.000000,top
"Q2","BSS138","SOT-23",152.000000,-114.387500,-90.000000,top
"R3","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",148.300000,-103.300000,180.000000,top
"R4","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",151.000000,-103.300000,0.000000,top
"R5","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",158.400000,-114.210000,-90.000000,top
"R6","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",149.300000,-114.210000,-90.000000,top
"RN1","R_Pack04","R_Array_Concave_4x0603",153.900000,-110.650000,90.000000,top
"SW1","SW_Push","SW_Push_SPST_NO_Alps_SKRK",162.200000,-114.200000,90.000000,top
"SW2","SW_Push","SW_Push_SPST_NO_Alps_SKRK",145.600000,-114.200000,90.000000,top
"U1","AMS1117-3.3","SOT-223",158.502500,-105.200000,0.000000,top
"U2","ESP-12F","ESP-12E",153.900000,-88.300000,0.000000,top
